Tag,Content
PlayerDamselVillainWin,(Both knights do a funny swordplay and Amanda|wins by knocking her enemy sword on the ground.)
PlayerDamselHeroineWin,(Both knights do a funny swordplay|and Sarah wins by disarming Amanda.)
RefuseBondageFromDamsel,(She sees the item but quickly turns it away.|As the damsel you need +10 submission to use it.)
RefuseBondageFromKnight,(She sees the item but quickly turns it away.|As a knight you need +5 submission to use it.)
Crop,(You whip her pretty hard and she|doesn't seem to appreciate at all.)
Rope,(You strip her and wrap the rope around|her body while she moans of pleasure.)
TwoRopes,"(You grab her legs and tie a second rope|around them, forcing her to kneel down.)"
Armbinder,"(You slide her arms in the leather|binder, strap it and lace it tight.)"
Cuffs,(You grab her hands and pin them in|her back so you can lock the cuffs.)
BallGag,(You strap her head with the strict|harness and push the big red ball in.)
TapeGag,(You hold her face by the jaw|and tape her mouth shut.)
ClothGag,(You force the wad into her mouth|and tie the cloth gag around her head.)
CuffsKey,(You unlock the cuffs while she checks|her wrists to be sure it didn't leave marks.)
VibratingEgg,(She stares at you and she sees|the egg but you're able to slide it in.)
ChastityBelt,(She frowns when she sees the belt|but she resigns as you lock it on her.)
Collar,(You need +20 submission and a|special ceremony to collar a student.)
Orgasm,(She gets a silent orgasm right on stage and|quickly looks around to check if anyone noticed.)
Ravish,Tonight?  I want to ravish you right now.|(She uses your own items against you.)
MasturbateChaste,(You barely slide a finger underneath|the belt but it's too tight to pleasure her.)
