Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,"Yes, it's my|first day here.","Welcome to our college then, I'm Teacher Yuki.|Don't make too much noise in the library.",1,0,0,
0,0,0,,I'm surprised you|haven't heard of me.,I haven't heard of you.  I'm Teacher Yuki.|Don't make too much noise in the library.,1,0,1,
0,0,0,,"Yes Miss, a new|school is always scary.","Don't be scared, it will be fine, I'm Teacher Yuki.|Please don't make too much noise in the library.",1,0,-1,
1,0,0,,(Nod silently.),Excellent.  So are you|looking for a specific book?,80,1,-1,
1,0,0,,"Yeah, yeah, I know.",(She gives you an angry look.)|Are you looking for a specific book?,80,-1,1,
1,0,0,,I'll keep quiet.,Very well.  So are you|looking for a specific book?,80,0,0,
80,0,0,BookAlreadyFound,I've already|found my book.,Very well.  You may find a|place to read in silence.,100,0,0,
80,0,0,,The Count of|Monte Cristo.,"Try the literature section.  From the|main aisle, second shelve to your left.",82,0,0,
80,0,0,,Fifty Shades of Grey.,"Young lady, you will not find|such trash in our fine establishment.",81,-1,0,
80,0,0,,Justine from the|Marquis de Sade.,You're not mature enough for this kind of literature.|This book isn't allowed for first year students.,81,1,1,
81,0,0,,"I also need ""The Count|of Monte Cristo.""","Try the literature section.  From the|main aisle, second shelve to your left.",82,0,0,
81,0,0,,Thank you Miss.|(Walk away.),,100,0,1,PlayerLeave()
81,0,0,,Thanks Yuki!|(Walk away.),,100,0,0,PlayerLeave()
81,0,0,,(Walk away.),,100,-1,0,PlayerLeave()
82,0,0,,Thank you Miss.|(Walk away.),,100,0,1,PlayerLeave()
82,0,0,,Thanks Yuki!|(Walk away.),,100,0,0,PlayerLeave()
82,0,0,,(Walk away.),,100,-1,0,PlayerLeave()
