Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,AmandaVictim,How dare you?  Why|did you do this to me?,Lockers.jpg
0,0,0,!AmandaVictim,How dare you?  Why|did you do this to Sarah?,Lockers.jpg
10,0,0,,,Lockers.jpg
20,0,0,,,Lockers.jpg
30,0,0,,,Lockers.jpg
40,0,0,,,Lockers.jpg
50,0,0,,,Lockers.jpg
51,0,0,,,Lockers.jpg
52,0,0,,,Lockers.jpg
53,0,0,,,Lockers.jpg
54,0,0,,,Lockers.jpg
55,0,0,,,LockersOpen.jpg
56,0,0,,,Lockers.jpg
60,0,0,,,Lockers.jpg
70,0,0,,,Lockers.jpg
71,0,0,,,Lockers.jpg
72,0,0,,,Lockers.jpg
73,0,0,,,Lockers.jpg
74,0,0,,,Lockers.jpg
75,0,0,,,LockersOpen.jpg
76,0,0,,,Lockers.jpg
80,0,0,,,Lockers.jpg
90,0,0,,,Lockers.jpg
100,0,0,,,Lockers.jpg
110,0,0,,,Lockers.jpg
120,0,0,,,Lockers.jpg
130,0,0,,,Lockers.jpg
140,0,0,,,Lockers.jpg
150,0,0,,,Lockers.jpg
160,0,0,,,Lockers.jpg
170,0,0,,,LockersOpen.jpg
180,0,0,,,LockersOpen.jpg
190,0,0,,,LockersOpen.jpg
200,0,0,,,LockerInside.jpg
210,0,0,,,LockersOpen.jpg
220,0,0,,,LockersOpen.jpg
230,0,0,,,LockersOpen.jpg
250,0,0,,,LockersOpen.jpg
260,0,0,,,LockersOpen.jpg
300,0,0,,,LockersOpen.jpg
400,0,0,,Miss!  Please!  We surrender!|How can you be so strong?,Lockers.jpg
410,0,0,,,Lockers.jpg
420,0,0,,,Lockers.jpg
430,0,0,,,Lockers.jpg
440,0,0,,,LockersTwoOpen.jpg
450,0,0,,,LockersTwoOpen.jpg
460,0,0,,,Lockers.jpg
