Tag,Content
BeltForHate,"Since you're a horny bitch, we'll teach you a lesson.|(She searches in her bag and gets a metallic belt.)"
BeltForSub,"Since you're a horny sub, we'll teach you a lesson.|(She searches in her bag and gets a metallic belt.)"
BeltForAmandaBelt,"Since you locked Amy in a belt, it's payback time.|(She searches in her bag and gets a metallic belt.)"
BeltForSarahBelt,"Since you locked me in a belt, it's payback time.|(She searches in her bag and gets a metallic belt.)"
BeltAmanda,It won't come off until you unlock Amanda.|But now it's time to lock you up.
BeltSarah,It won't come off until you unlock mine.|But now it's time to lock you up.
CannotMasturbate,(You can barely slip a finger under the belt.|It won't be possible to pleasure yourself.)
LockerNoStrip,(Amanda stashes your bag while Sarah speaks.)|You're so lucky!  We will lock you up now.
CaughtMasturbating,(The locker opens suddenly and Sarah yells.)|Oh my god!  So kinky!  She was pleasuring herself.
LearnLesson,(The locker opens and Amanda smiles.)|So have you learned a lesson today?
Orgasm,"(You stimulate yourself right on the spot and|tremble with ecstasy, getting a great orgasm.)"
OrgasmEnough,(You play with yourself but you're out of ideas.|It's too uncomfortable for a second orgasm.)
OrgasmRepeat,(You touch yourself and the vibrating egg kicks|in to give you desires for another round.)
FightDefeat70,"Girl, you cannot fight both of us.|Now shut up and drop your stuff!"
FightDefeat90,"Girl, you cannot fight both of us.|Now shut up and get naked!"
FightDefeat140,"Girl, you cannot fight both of us.|We will lock that chastity belt on you."
FightDefeat180,"Girl, you cannot fight both of us.|You will step in that locker."
LockerListen1,"(You can hear Amanda talking.)  Sarah?|Do you hear me?  Don't be scared, I'm here."
LockerListen2,(You can hear Sarah talking.)  Hey Amy!|Do you know if they have lockers for two?
LockerListen3,(You can hear Amanda talking.)  Sarah.|This was one of the worst plans we ever tried.
LockerListen4,(You can hear Sarah moaning softly.)|(She seems to be enjoying her situation.)
