Tag,Content
AmandaSarah1,Amanda and Sarah let you go and walk away.
AmandaSarah2,You can still hear them laughing at what happened.
AmandaSarah3,"You missed a class, better not be late for the next one."
AmandaSarahGood1,"The bell rings again, you head to your next class."
AmandaSarahGood2,"You smile, having foiled Amanda and Sarah revenge."
AmandaSarahGood3,"You might have missed a class, but it was worth it."
SidneyJennifer1,Sidney and Jennifer let you go and walk away.
SidneyJennifer2,You can see them giving each other a high five.
SidneyJennifer3,"You missed a class, better not be late for the next one."
SidneyJenniferGood1,"The bell rings again, you head to your next class."
SidneyJenniferGood2,"You smile, having foiled Sidney and Jennifer revenge."
SidneyJenniferGood3,"You might have missed a class, but it was worth it."
