Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,SidneyVictim,Fuck you COMMON_PLAYERNAME!|You think you can humiliate me?,Hallway.jpg
0,0,0,!SidneyVictim,Fuck you COMMON_PLAYERNAME!|You think you can humiliate Jen?,Hallway.jpg
10,0,0,,,Hallway.jpg
20,0,0,,,Hallway.jpg
30,0,0,,,Hallway.jpg
31,0,0,,,Hallway.jpg
32,0,0,,,Hallway.jpg
33,0,0,,,Hallway.jpg
34,0,0,,,Hallway.jpg
35,0,0,,,Hallway.jpg
36,0,0,,,Hallway.jpg
37,0,0,,,Hallway.jpg
38,0,0,,,HallwayFloor.jpg
39,0,0,,,Hallway.jpg
40,0,0,,,Hallway.jpg
90,0,0,,,Hallway.jpg
100,0,0,,,Track.jpg
110,0,0,,,Track.jpg
120,0,0,,,Track.jpg
130,0,0,,,Track.jpg
131,0,0,,,Track.jpg
132,0,0,,,Track.jpg
133,0,0,,,Track.jpg
134,0,0,,,Track.jpg
135,0,0,,,Track.jpg
136,0,0,,,Track.jpg
137,0,0,,,Track.jpg
138,0,0,,,Track.jpg
139,0,0,,,Track.jpg
140,0,0,,,Track.jpg
141,0,0,,,Track.jpg
142,0,0,,,TrackDown.jpg
143,0,0,,,Track.jpg
150,0,0,,,Track.jpg
155,0,0,,,Track.jpg
160,0,0,,,Track.jpg
170,0,0,,,Track.jpg
180,0,0,,,Track.jpg
190,0,0,,,TrackDown.jpg
200,0,0,,,TrackDown.jpg
300,0,0,,,TrackDown.jpg
310,0,0,,,Track.jpg
320,0,0,,,Track.jpg
