Tag,Content
JenniferStrips,(She blushes and sighs.)  Yes Miss.|(She strips naked in the hallway.)
FightVictorySidneyRun,"(Sidney runs while you recover, abandoning Jennifer.)|Sidney?  Don't run!  Don't leave me with her!"
FightDefeatHallway,We crushed you!  Now come outside|with us and don't cause any trouble.
CropJennifer,(You whip her pretty hard while she cowers|and whimpers.  She didn't seem to enjoy it.)
BallGag,(She struggles to avoid the ball but|you're able to push it in and buckle it.)
TapeGag,(She trashes to avoid the tape but|you're able to tape her mouth shut.)
ClothGag,(She clenches her teeth but you're able|to push the wad in and wrap the gag around.)
VibratingEgg,(She frowns and tries to dodge your|hand but you're able to slide the egg in.)
ChastityBelt,(She trashes hard when she sees the|belt and whimpers as you lock it on her.)
Collar,(You need +20 submission and a|special ceremony to collar a student.)
MasturbateJenniferOrgasm,"(She struggles and suddenly loses|control of herself, getting a nice orgasm.)"
MasturbateJenniferLove,(You masturbate her lovingly while|she trembles and moans quietly.)
MasturbateJenniferNoLove,(You masturbate her lovingly but|she doesn't seem to be in the mood.)
FightVictoryJenniferRun,(Sidney slowly recovers but Jennifer disapeared.)|Jen?  Where the fuck did you go?  Coward!
FightDefeatTrack,You really thought you could fight us both?|From now on you know you should obey.
SidneyUnderwear,Fine!  Make it quick.|(She strips to her underwear.)
CropSidney,(You whip her pretty hard on the butt with the crop.|She pretends it doens't hurt but she's in pain.)
SidneyPigTalk,(She takes a deep breath and imitates a pig.)|Sooooooowweeeee!  Sowe!  Sooweeee! 
MasturbateSidneyOrgasm,(She trashes in her bonds and crumbles|to the ground in a shattering orgasm.)
MasturbateSidneyEgg,(You masturbate her slowly while|she looks at you and moans quietly.)
MasturbateSidneyNoEgg,(You masturbate her slowly while|she stares at you and grumbles.)
RaceGoal,You have 10 minutes to reach Jennifer!
RaceVictory,(Jennifer speaks with a cheeful voice.)|Congratulations COMMON_PLAYERNAME!  You did it.
RaceDefeat,(Jennifer speaks with a sad tone of voice.)|You failed the race COMMON_PLAYERNAME.
