Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,"Since your teacher could not make it, I will be|taking over.  You can address me as Miss Mildred.",MildredTeach.jpg
10,0,0,,,MildredTeach.jpg
20,0,0,,,MildredAngry.jpg
30,0,0,,,MildredTeach.jpg
31,0,0,,,MildredApproachFront.jpg
32,0,0,,,MildredCuffFront.jpg
35,0,0,,,MildredApproachBack.jpg
36,0,0,,,MildredCuffBack.jpg
40,0,0,,,MildredTeach.jpg
45,0,0,,,MildredApproachSidney.jpg
46,0,0,,,MildredCuffsSidney.jpg
47,0,0,,,SidneyCuffed.jpg
48,0,0,,,SidneyCuffed.jpg
50,0,0,,,MildredAngry.jpg
60,0,0,,,MildredTeach.jpg
