Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,(Hör genau zu.),"Ich weiß, dass es Disziplinprobleme in diesem Raum gegeben hat und das wird jetzt aufhören.",10,0,0,GoodStudent()
0,0,0,,(Schau auf die Uhr.),"Ich weiß, dass es Disziplinprobleme in diesem Raum gegeben hat und das wird jetzt aufhören.",10,0,0,
0,0,0,,(Spiele mit deinen Fingernägeln.),"Ich weiß, dass es Disziplinprobleme in diesem Raum gegeben hat und das wird jetzt aufhören.",10,-1,0,
0,0,0,,(Entspanne dich auf deinem Stuhl.),"Ich weiß, dass es Disziplinprobleme in diesem Raum gegeben hat und das wird jetzt aufhören.",10,0,0,
10,0,0,,(Hör genau zu.),"Ich habe die Mittel, euch unter Kontrolle zu halten. Wenn ihr nicht das macht, was ich sage, werdet ihr gefesselt.",20,0,0,GoodStudent()
10,0,0,,(Sieh gelangweilt aus.),"Ich habe die Mittel, euch unter Kontrolle zu halten. Wenn ihr nicht das macht, was ich sage, werdet ihr gefesselt.",20,0,0,
10,0,0,,(Gähne laut.),"(Sie schlägt schnell auf das Podium und jeder springt auf.)Wenn ihr nicht das macht was ich sage, werde ich euch fessseln.",20,-1,0,
20,0,0,,(Hör genau zu.),"Mädchen, heute gibt es einen Überraschungstest, um zu sehen, ob ihr euren Teil gelesen habt.",30,0,0,GoodStudent()
20,0,0,,(Beuge deinen Kopf und|zitter voller Angst.),"Mädchen, heute gibt es einen Überraschungstest, um zu sehen, ob ihr euren Teil gelesen habt.",30,0,-1,GoodStudent()
20,0,0,,(Scheue sie|trotzig an.),"Mädchen, heute gibt es einen Überraschungstest, um zu sehen, ob ihr euren Teil gelesen habt.",30,0,1,
30,0,0,,(Hör genau zu.),"Ihr werdet zu zweit vor die Klasse gehen und Fragen über das, was ihr gelesen habt beantworten.",40,0,0,CheckForCuffs()
30,0,0,,(Schau auf die Uhr.),"Ihr werdet zu zweit vor die Klasse gehen und Fragen über das, was ihr gelesen habt beantworten.",40,0,0,CheckForCuffs()
30,0,0,,(Sieh gelangweilt aus.),"Ihr werdet zu zweit vor die Klasse gehen und Fragen über das, was ihr gelesen habt beantworten.",40,0,0,CheckForCuffs()
30,0,0,,(Entspanne dich auf deinem Stuhl.),"Ihr werdet zu zweit vor die Klasse gehen und Fragen über das, was ihr gelesen habt beantworten.",40,0,0,CheckForCuffs()
31,0,0,,Das können sie nicht machen!|(Versuche ihr zu wiederstehen.),Ich kann und ich werde das machen!  (Sie greift deine Handgelenke kraftvoll und legt die Handschellen an dir an.),32,0,1,CuffPlayer()
31,0,0,,Ist das nicht zu viel?|(Versuche zu verhandeln.),"Das ist genau das, was du brauchst.  (Sie greift deine Handgelenke und legt die Handschellen an dir an.)",32,0,0,CuffPlayer()
31,0,0,,Ja Frau Mildred.|(Lass sie dir Handschellen anlegen.),Sehr gut junges Fräulein.  (Sie greift deine Handgelenke sanft und legt die Handschellen an dir an.),32,0,-1,CuffPlayer()
31,0,10,,"Mildred, treten sie zurück.|(Versuche sie einzuschüchtern.)",(Sie tretet voller Angst zurück und redet wieder.) Ihr werdet zu zweit Fragen über das Buch beantworten.,40,0,1,
32,0,0,,Ich werde gut sein Frau Mildred.,"(Sie nickt und geht zurück, um wieder zu reden.) Ihr werdet zu zweit Fragen über das Buch beantworten.",40,0,-1,
32,0,0,,Sie sind so pervers!,"(Sie runzelt ihre Stirn und geht zurück, um wieder zu reden.) Ihr werdet zu zweit Fragen über das Buch beantworten.",40,-1,0,
32,0,0,,Das ist gerecht.|Ich verdiene es.,"(Sie nickt und geht zurück, um wieder zu reden.) Ihr werdet zu zweit Fragen über das Buch beantworten.",40,1,0,
32,0,0,,(Bleibe leise.),"(Sie lächelt und geht zurück, um wieder zu reden.) Ihr werdet zu zweit Fragen über das Buch beantworten.",40,0,0,
35,0,0,,Das können sie nicht machen!|(Versuche ihr zu wiederstehen.),Ich kann und ich werde das machen!  (Sie greift deine Handgelenke kraftvoll und legt die Handschellen an dir an.),36,0,1,CuffPlayer()
35,0,0,,Ist das nicht zu viel?|(Versuche zu verhandeln.),"Das ist genau das, was du brauchst.  (Sie greift deine Handgelenke und legt die Handschellen an dir an.)",36,0,0,CuffPlayer()
35,0,0,,Ja Frau Mildred.|(Lass sie dir Handschellen anlegen.),Sehr gut junges Fräulein.  (Sie greift deine Handgelenke sanft und legt die Handschellen an dir an.),36,0,-1,CuffPlayer()
