Tag,Content
MildredComesForCuffs,"(Mildred walks to you.)  To make sure the|test goes well, you will be cuffed little miss."
SidneyStares,(Sidney struggles on the cuffs and gives|you a vicious stare while Mildred walks back.)
TestSidneyCuffs,(Mildred grabs Sidney hands and cuffs them.)|Focus on the next part or you'll be punished.
TestSidneyNoSkirt,(Mildred pulls on Sidney skirt and removes it.)|Some humiliation will teach you to do your readings.
TestSidneyCrop,"(Mildred whips Sidney's butt pretty hard.)|If nothing can discipline you, pain will."
TestSidneyCropAgain,(Mildred whips Sidney's butt sadistically and grins.)|Pain will make you stronger.  Pain will make you better.
TestPlayerCuffs,(Mildred grabs your hands firmly and cuffs them.)|Focus on the next part or you'll be punished.
TestPlayerNoSkirt,(Mildred pulls on your skirt and removes it.)|Some humiliation will teach you to do your readings.
TestPlayerCrop,"(Mildred whips your butt pretty hard.)|If nothing can discipline you, pain will."
TestPlayerCropAgain,(Mildred whips your butt sadistically and grins.)|Pain will make you stronger.  Pain will make you better.
ShameForDefeat,You should be ashamed of yourself.|You lost against the worst student.
