Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,The class is almost full but the teacher is still missing.|There's an empty desk in the front and back rows.,TeacherPodium.jpg
10,0,0,,,FrontDesk.jpg
20,0,0,,,NatalieWaiting.jpg
50,0,0,,,BackDesk.jpg
60,0,0,,,SidneyRelax.jpg
100,0,0,,,FrontDeskSit.jpg
101,0,0,,,TeacherPodium.jpg
110,0,0,,,NatalieWaiting.jpg
111,0,0,,,Natalie.jpg
112,0,0,,,Natalie.jpg
113,0,0,,,Natalie.jpg
114,0,0,,,Natalie.jpg
120,0,0,,,Natalie.jpg
121,0,0,,,Natalie.jpg
122,0,0,,,Natalie.jpg
123,0,0,,,Natalie.jpg
124,0,0,,,Natalie.jpg
125,0,0,,,Natalie.jpg
126,0,0,,,Natalie.jpg
180,0,0,,,NatalieWaiting.jpg
190,0,0,,,NatalieAngry.jpg
200,0,0,,,BackDeskSit.jpg
201,0,0,,,TeacherPodium.jpg
210,0,0,,,SidneyRelax.jpg
211,0,0,,,Sidney.jpg
230,0,0,,,SidneyLove.jpg
231,0,0,,,SidneyLove.jpg
240,0,0,,,SidneySub.jpg
241,0,0,,,SidneySub.jpg
250,0,0,,,SidneyDomme.jpg
251,0,0,,,SidneyDomme.jpg
260,0,0,,,SidneyRelax.jpg
261,0,0,,,SidneyRelax.jpg
262,0,0,,,Sidney.jpg
263,0,0,,,Sidney.jpg
264,0,0,,,Sidney.jpg
265,0,0,,,Sidney.jpg
266,0,0,,,Sidney.jpg
270,0,0,,,SidneyDomme.jpg
280,0,0,,,SidneyRelax.jpg
290,0,0,,,SidneyHate.jpg
