Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,The class is almost full but the teacher is still missing.|There's an empty desk in the front and back rows.,TeacherPodium.jpg
10,0,0,,,FrontDesk.jpg
20,0,0,,,NatalieWaiting.jpg
50,0,0,,,BackDesk.jpg
60,0,0,,,SidneyRelax.jpg
100,0,0,,,FrontDeskSit.jpg
101,0,0,,,TeacherPodium.jpg
110,0,0,,,NatalieWaiting.jpg
111,0,0,,,Natalie.jpg
112,0,0,,,Natalie.jpg
120,0,0,,,Natalie.jpg
121,0,0,,,Natalie.jpg
130,0,0,,,Natalie.jpg
131,0,0,,,Natalie.jpg
190,0,0,,,NatalieAngry.jpg
200,0,0,,,BackDeskSit.jpg
201,0,0,,,TeacherPodium.jpg
210,0,0,,,SidneyRelax.jpg
220,0,0,,,Sidney.jpg
230,0,0,,,SidneyLove.jpg
240,0,0,,,SidneySub.jpg
250,0,0,,,SidneyDomme.jpg
290,0,0,,,SidneyHate.jpg
