Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,(Check the front row.),There's an empty desk in the front row.|Right next to where the teacher should stand.,10,0,0,
0,0,0,,(Check the back row.),There's an empty desk in the back row.|It smells like someone just smoked.,50,0,0,
10,0,0,NatalieLunch,(Check the neighbors.),A brown haired girl is sitting next to the empty desk.|She looks at the clock and seems to be impatient.,20,0,0,
10,0,0,!NatalieLunch,(Check the neighbors.),Natalie from the Kinbaku Club sits next to the desk.|She looks at the clock and seems to be impatient.,20,0,0,
10,0,0,,(Check the back row.),There's an empty desk in the back row.|It smells like someone just smoked.,50,0,0,
10,0,0,,(Check in front|of the classroom.),The teacher is missing.|The podium is empty.,0,0,0,
10,0,0,,(Pick this desk.),You pick the desk in the|front row and sit on it.,100,0,0,SelectFront()
20,0,0,,(Check the desk.),There's an empty desk in the front row.|Right next to where the teacher should stand.,10,0,0,
20,0,0,,(Check the back row.),There's an empty desk in the back row.|It smells like someone just smoked.,50,0,0,
20,0,0,,(Check in front|of the classroom.),The teacher is missing.|The podium is empty.,0,0,0,
50,0,0,SidneyWasPig,(Check the neighbors.),Sidney is sitting next to the empty desk.|She flips you the finger when you walk by.,60,0,0,
50,0,0,!SidneyWasPig,(Check the neighbors.),"Sidney is sitting next to the empty desk.|She seems pretty relax, she might be stoned.",60,0,0,
50,0,0,,(Check the front row.),There's an empty desk in the front row.|Right next to where the teacher should stand.,10,0,0,
50,0,0,,(Check in front|of the classroom.),The teacher is missing.|The podium is empty.,0,0,0,
50,0,0,,(Pick this desk.),You pick the desk in the|back row and sit on it.,200,0,0,SelectBack()
60,0,0,,(Check the desk.),There's an empty desk in the back row.|It smells like someone just smoked.,50,0,0,
60,0,0,,(Check the front row.),There's an empty desk in the front row.|Right next to where the teacher should stand.,10,0,0,
60,0,0,,(Check in front|of the classroom.),The teacher is missing.|The podium is empty.,0,0,0,
100,0,0,,(Wait patiently.),You quietly wait for the teacher|but she's not coming in yet.,100,0,0,WaitTwoMinutes()
100,0,0,,(Check in front|of the classroom.),The teacher is still missing.,101,0,0,
100,0,0,,(Check your neighbors.),Most of your neighbors are busy in their|books but one of them is only looking at the clock.,110,0,0,CheckFront()
101,0,0,,(Wait patiently.),You quietly wait for the teacher|but she's not coming in yet.,101,0,0,WaitTwoMinutes()
101,0,0,,(Check your desk.),You turn around to your desk.,100,0,0,
101,0,0,,(Check your neighbors.),Most of your neighbors are busy in their|books but one of them is only looking at the clock.,110,0,0,CheckFront()
110,0,0,,Hello there.,"(She turns around.)|Hello, I'm Natalie.",111,0,0,
110,0,0,,What's up?,"(She turns around.)  Not much, I'm waiting|for the teacher.  I'm Natalie by the way.",111,0,0,
110,0,0,,(Back to your desk.),You turn around to your desk.,100,0,0,UnloadActor()
111,0,0,,I'm COMMON_PLAYERNAME.,I'm pleased to meet you.|You're new in the college?,112,0,0,
111,0,0,,Nice to meet you.|(Shake her hand.),It's nice to meet you also.|You're new in the college?,112,1,0,
112,0,0,,"Yes, I don't have|any friends yet.",I know a great club if|you want to make friends.,113,0,-1,
112,0,0,,"Yes, but I already|have many friends.",Great!  I know a great club if you|and your friends want to have fun.,113,0,1,
112,0,0,,"Yes, it's my|first day here.",Ok.  Since you're new you need to meet people.  I know a great club for that.,113,0,0,
120,0,0,,(Back to your desk.),You turn around to your desk.,100,0,0,UnloadActor()
130,0,0,,Is the teacher late?,"She's late, we might get|a substitute teacher again.",131,0,0,
130,0,0,,Am I too early?,"You're on time, the teacher is late|again, we might get a substitute.",131,0,0,
190,0,0,,It was only for fun!,"(She gives you an angry look and whispers.)|She who laughs last, laughs best.",190,0,0,
190,0,0,,What are you|planning now?,You'll see pretty soon.,190,0,0,
190,0,0,,I'm so sorry.  Can|we make peace?,"Maybe, come to the club later and|we'll see about that.  (She grins.)",190,0,0,NataliePeaceOffer()
190,0,0,,(Back to your desk.),You turn around to your desk.,100,0,0,UnloadActor()
200,0,0,,(Wait patiently.),You quietly wait for the teacher|but she's not coming in yet.,200,0,0,WaitTwoMinutes()
200,0,0,,(Check in front|of the classroom.),The teacher is still missing.,201,0,0,
200,0,0,,(Check your neighbors.),Most of your neighbors are busy in their|books and Sidney seems to be relaxing.,210,0,0,CheckBack()
201,0,0,,(Wait patiently.),You quietly wait for the teacher|but she's not coming in yet.,201,0,0,WaitTwoMinutes()
201,0,0,,(Check your desk.),You turn around to your desk.,200,0,0,
201,0,0,,(Check your neighbors.),Most of your neighbors are busy in their|books and Sidney seems to be relaxing.,210,0,0,
210,0,0,,(Back to your desk.),You turn around to your desk.,200,0,0,UnloadActor()
220,0,0,,(Back to your desk.),You turn around to your desk.,200,0,0,UnloadActor()
230,0,0,,(Back to your desk.),You turn around to your desk.,200,0,0,UnloadActor()
240,0,0,,(Back to your desk.),You turn around to your desk.,200,0,0,UnloadActor()
250,0,0,,(Back to your desk.),You turn around to your desk.,200,0,0,UnloadActor()
290,0,0,SidneyWasPig,SOOOOOWEEE!|(Make pig noises.),Fuck you COMMON_PLAYERNAME.|That was very humiliating.,290,0,0,PigRemark()
290,0,0,,Can we stop|that silly war?,Hell no!  The war will stop when|you run in tears and don't come back.,290,0,0,
290,0,0,,(Back to your desk.),You turn around to your desk.,200,0,0,UnloadActor()
