Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,So what do you do to kill time?,Dorm.jpg
0,10,0,,"So my friend, what do you do to kill time?",Dorm.jpg
0,0,-10,,"Hey girl, what do you do to kill time?",Dorm.jpg
0,0,10,,"Miss, what would you like to do?",Dorm.jpg
0,0,0,Common_PlayerNaked,You're so kinky.,Dorm.jpg
0,10,0,Common_PlayerNaked,You're pretty without clothes.,Dorm.jpg
0,0,-10,Common_PlayerNaked,"Girl, you're fucking kinky.",Dorm.jpg
0,0,10,Common_PlayerNaked,"Miss, you have a fabulous body.",Dorm.jpg
0,0,0,Common_ActorIsOwner,Hey there my little bitch.|What would you like to do?,Dorm.jpg
100,0,0,,"Sure, we can fuck.|We do it right here?",Dorm.jpg
100,0,-10,,"Sure, we can fuck.|Get in bed girl.",Dorm.jpg
100,0,0,Common_ActorIsLover,Of course sweetie.,Dorm.jpg
100,0,0,Common_ActorIsOwned,Of course Mistress.,Dorm.jpg
200,0,0,,Protection?  What do you mean Miss?,Dorm.jpg
200,0,0,Common_ActorIsLover,I already have your lips and arms.|Do you really think I need protection?,Dorm.jpg
300,0,0,,"I know you do, but you're going to get|crushed if you keep acting that way.",Dorm.jpg
300,0,0,Common_ActorIsLover,"I know sweetheart, but you're going to get|eaten alive if you keep acting that way.",Dorm.jpg
310,0,0,,,Dorm.jpg
320,0,0,,,Dorm.jpg
330,0,0,,,Dorm.jpg
340,0,0,,,Dorm.jpg
350,0,0,,,Dorm.jpg
360,0,0,,,Dorm.jpg
370,0,0,,,Dorm.jpg
380,0,0,,,Dorm.jpg
390,0,0,,,Dorm.jpg
395,0,0,,,Dorm.jpg
