Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Slaves?,"That's right, servants bound to their masters will.|Can I interest you in one of these fine slaves?",10,1,0,
0,0,0,,Todays?,They would take too much looking after if I kept|them permanently.  Would you like one?,10,0,0,
0,0,0,,"Ummm,|I'm COMMON_PLAYERNAME.","Nice name, of course if you became a slave you would|loose it.  Would you like to buy one of these slaves?",10,0,-1,
10,0,0,Loop1,Did these girls|ask for this?,"Well it's kind of hard for them to ask when they|have already been kidnapped, bound and gagged.",20,0,0,StopLoop1()
10,0,0,,"Yeah, I'll|take a slave.","Hold on, I only deal in hard currency|and it looks like you can't afford one.",30,1,0,NotRichEnough()
10,0,0,,These girls|aren't my type.,They are all I have in stock at the moment.|You could try kidnapping girls you like.,40,1,1,
10,0,0,,No thank you.,Well how about get involved in kidnapping instead?,30,0,0,
10,0,0,Loop2,You can't just|kidnap people.,Well I just did.|Are you interesting in a bit of slavery or not?,10,-1,0,StopLoop2()
20,0,0,,So you really|kidnapped them?,"Hardly, these two damsels know what they are getting|into if they let a known slaver sneak up on them.",25,0,0,
20,0,0,,Awesome.,"Yeah, most members learn to check behind the door|when they enter this club. Some never seem to learn.",25,1,0,
25,0,0,,I can't believe|you just do this.,Believe it. They did freely walk into this club.|Are you interested in a slave or not?,10,-1,0,
25,0,0,,I don't want to|be kidnapped.,Well you might not get the choice.|Are you interested in a slave or not?,10,0,-1,
25,0,0,,You didn't try|kidnapping me.,Only because Jenna took the prime spot.|Are you interested in a slave or not?,10,1,-1,
25,0,0,,Jenna didn't|mention slavery.,"She wouldn't, some members are|practically slaves to her.",10,0,0,
30,0,0,,Maybe I should|enslave you then.,"You can try, but you have already lost the element of|surprise. You should try kidnapping someone else.",40,1,1,
30,0,0,Poverty,Would you accept|anything else instead?,I could sell you as a slave and we could split the profit.|Or you could try kidnapping your own slave.,40,1,-1,SlaveOffer()
30,0,0,Poverty,But I really want|my own slave.,Calm down. There are plenty of girls just|waiting to be kidnapped into slavery.,40,1,0,
30,0,0,,This is stupid.,"Come on, it's only a bit of fun.|You might actually enjoy kidnapping.",40,-1,0,
40,0,0,,We can just kidnap|any club member?,You can try. Some will gang up on you though and|some will just let you tie them up if you ask.,50,0,0,
40,0,0,SellMe,I suppose you could|try selling me.,"Excellent, come here and|accept this binding agreement.",100,0,-1,NoLeave()
40,0,0,,Kidnapping isn't my thing.,You haven't even tried it yet. ,50,-1,0,
40,0,0,,Well I do have|my eye on one girl.,"Hee-hee, I bet she won't know what's hit her.",50,1,0,
50,0,0,,OK I'll give|kidnapping a try.,"That's the spirit, go get 'um girl.",60,1,0,TryKidnapping()
50,0,0,,You're mine.|(Try kidnapping Erica.),"Nice try, but you're not getting me without a fight.",60,1,0,Fight()
50,0,0,,(Turn and leave.),"(She snatches you from behind.)  You should never|turn your back on a slaver, foolish damsel.",150,0,0,NoLeave()
100,0,0,,(Try to get out of there.),(She grabs you and fastens the collar around your neck|before you can get away.)  You're mine now.,110,0,0,CollarLocked()
100,0,0,PlayerNotBound,(Fight here off.),Wow you're a feisty one. Come back when you're|ready for a collar and chain.,90,0,0,ResistedSlavery()
100,0,0,PlayerNotGagged,"No, mess about|with someone else.","Oh, be like that. There is no need to be|so snobbish about a bit of role play.",90,0,0,ResistedSlavery()
100,0,0,PlayerNotGagged,Please let me go.,"You ask so politely, but it won't save you now.|(She fastens the collar around your neck.)",110,1,0,CollarLocked()
100,0,0,,(Accept your fate|and submit.),"(She fastens the collar around your neck.) The girls|talked about you all afternoon, but you're all mine now.",110,1,-1,CollarLocked()
100,0,0,PlayerIsFree,You're mine this time.|(Try kidnapping Erica.),"Nice try, but you're not getting me without a fight.",90,0,0,Fight()
110,0,0,,(Escape.),"(The collar is chained firmly to the wall.  She makes|sure you are suitably stripped, bound and gagged.)",170,0,0,PlayerSlaved()
110,0,0,,(Rubbing up|against her.),"Well aren't you the affectionate slave, let me help you.|(She makes sure you are stripped bound and gagged.)",170,1,0,PlayerSlaved()
110,0,0,PlayerNotBound,(Remove the collar.),"We can't have slaves freeing themselves.  (She makes|sure you are suitably stripped, bound and gagged.)",170,0,0,PlayerSlaved()
