Tag,Content
BoundAgain,"Looks whose back, are you|ready to become my slave now?"
EscapeKidnap,"(You manage to break out of Erica's grasp.)  You|escaped this time, I will kidnap you if you come back."
EarnKeep,It seems you're no hot cake after all.|You'll have to earn your keep another way.
LooseClothGag,(You can feel the cloth becoming looser now.|Just a little more and it should come off.)
ChangeGag,Looks like you're not fond of that cloth gag.|Try this one instead (Erica changes your gag.)
RubBallGag,(It's no good. Rubbing does nothing to loosen the|straps which hold the ball firmly in place.)
NuzzleBallGag,"Ewww, you're getting drool over my leg. Bad slave."
EricaPleasureOrgasm,"aaAAAAaah yeesss. (Erica presses your head in while|she has a sweet orgasm, before letting you come up.)"
StopPleasure,"Hmmmpf, you're a useless slave.|(She pulls you up.)"
LetOut,(She lets you come up.)|Is something the matter slave?
Free,Well you're not worth keeping as a slave.|(She removes the ropes around your legs.)
Freeish,Well you're not worth anything as a slave.|(She removes your gag and your leg ropes.)
PleasurePlayer,"Possibly, in a bit my good slave.|(She gags you again.)"
ChangeEgg,"Looks like you have already got a toy, here try|this one instead.  (She changes the egg in your vagina.)"
PullGood1,"(You manage to pull on the crotch rope.  Combined|with the vibrating egg, it is very pleasurable.)"
PullGood2,"(You keep pulling on the crotch rope,| feeling even more aroused.)"
PullGood3,(This is starting to feel really good.|Ooooh just a little more.)
PullGood4,(You push yourself over the edge and have|a relieving orgasm and moan quietly into your gag.)
PullGood5,(It still feels good.)
PullFrustrating2,(You keep tugging the rope but it's not enough.|This egg is frustratingly under powered.)
PullFrustrating3,How do you like my special egg?  I had some made|for teasing and punishing slaves like you.
PullFrustrating4,(It's no use. The irritatingly gentle vibration of the egg|just mocks any attempt to relieve yourself.)
EricaSubdued,"(Erica watches at you wearily. She won't trouble you|any more, but you had best leave her alone.)"
HumiliatedUngag,"Please I promise I'll never even think about|making you my slave ever again, just let me go."
HumiliatedMasturbate,(She quietly moans and trembles|while you continue to massage her clit.)
HumiliatedSpank,(You take each breast in tern and smack them.|Erica whines with pain and humiliation.)
HumiliatedNipples,(She whimpers with shame|as you massage her breast and tweak her nipples.)
HumiliatedKey,You've already taken my reputation and dignity.|I can't let you take the only things I have left.
HumiliatedBroken,"I can't take this any more, please let me go.|I promise I won't bother you again."
HumiliatedBrokenGagged,(Erica whimpers pitifully and tugs|desperately on the ropes binding her.)
NotBrokenGagged,(Erica mumbles angrily into her gag.)
HumiliatedBlindfold,(She quietly accepts the blindfold.)
HumiliatedBallGag,(She opens her mouth wide for the ball and bows|her head while you to buckle the straps.)
HumiliatedClothGag,(She opens her mouth wide for the wadding and bows|her head while you to tie the cloths.)
HumiliatedTapeGag,(She closes her mouth and accepts the tape.)
HumiliatedCollar,"(Already thoroughly humiliated, Erica breaks down|and starts whimpering as you collar here.)"
EricaMasturbateOrgasm,(She looses her composure|and cums to your touch.)
HumiliationCrop,(She cries out pitifully|as you crop her exposed bottom.)
SlaveEgg,"Please stop, you're only tormenting me. Erica gave me|a special egg before fitting this chastity belt."
SlaveMmmph,Mmmmph (She rolls her eyes.)
SlavePleaseGag,"Wait you had better leave me gagged, please just do it.|(You shrug and gag her.  Who do you play with now?)"
Collar,(You buckle the collar with a chain around her neck.|As long as her hands are bound she can't escape.)
Crop,"(She grunts and snorts, trying to suppress|the pain as you crop her exposed bottom.)"
Rope,"(You set about restraining Erica, stripping her|and immobilizing her with plenty of rope.)"
Cuffs,"(You handcuff her, but she is till pretty wild|and they might not be enough to keep her captive.)"
BallGag,(She grits her teeth and it takes a|lot of effort to eventually gag her.)
TapeGag,"(She shakes her head vigorously, but eventually|you managed to pin her head still and gag her.)"
ClothGag,(She grits her teeth and it takes a|lot of effort to eventually gag her.)
VibratingEgg,(She is helpless to resist you from|pushing a vibrating egg into her.)
InsufficientRestraint,(Erica resists and is not yet restrained enough|for you to be able to force it on her.)
Blindfold,(You strap a blindfold on her.|She still tries to scowl at you.)
