Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,"Hello there, you must be COMMON_PLAYERNAME?|I'm Lauren.",Lauren.jpg
10,0,0,,Hello there.|Looks like someone is a little tied up at the moment.,Lauren.jpg
15,0,0,,I see you prefer to stay tied up.,Lauren.jpg
20,0,0,,"Hello there, you look good in those hand cuffs.",Lauren.jpg
25,0,0,,I see you prefer to be gagged.,Lauren.jpg
30,0,0,,Hello again.,Lauren.jpg
40,0,0,,I'm teaching Nicole how to escape handcuffs without|the key.  Would you like to learn too?,Lauren.jpg
45,0,0,,The group next to us is discussing rope|techniques if you interested in that.,Lauren.jpg
50,0,0,,Would you like to learn how to escape from handcuffs?,Lauren.jpg
55,0,0,,Found that key yet?,Lauren.jpg
100,0,0,,The handcuff mechanism is really very crude.,Lauren.jpg
110,0,0,,You remember what I was saying about hand cuff mechanisms?,Lauren.jpg
120,0,0,,I was just saying I slide a strip|of metal between the pawl and ratchet,Lauren.jpg
130,0,0,,Do you want to learn the technique now?,Lauren.jpg
140,0,0,,"When you are ready, handcuff yourself and|I will talk you through escaping them.",Lauren.jpg
145,0,0,,I'll only explain how if you are willing to|have a go and cuff yourself first.,Lauren.jpg
150,0,0,,"Excellent, you're ready to start.",Lauren.jpg
160,0,0,,,Lauren.jpg
165,0,0,,,LaurenReaching.jpg
170,0,0,,,LaurenReaching.jpg
180,0,0,,,Lauren.jpg
190,0,0,,Image? - Broken hair clip in players hands?,Lauren.jpg
200,0,0,,,Lauren.jpg
205,0,0,,,Lauren.jpg
210,0,0,,,Lauren.jpg
220,0,0,,"Hi there, could you give us a moment.|Nicole is struggling and needs my help.",Lauren.jpg
300,0,0,,You remove you blindfold to see who you caught.,LaurenCaught.jpg
310,0,0,,,LaurenTalking.jpg
320,0,0,,,LaurenTalking.jpg
330,0,0,,,LaurenEscaped.jpg
340,0,0,,,LaurenEscaped.jpg
350,0,0,,,LaurenEscaped.jpg
360,0,0,,,LaurenUndressed.jpg
370,0,0,,,LaurenSatinComment.jpg
380,0,0,,,LaurenBag.jpg
390,0,0,,,LaurenSat.jpg
400,0,0,,,LaurenLegCuffs.jpg
410,0,0,,,LaurenWristCuffs.jpg
420,0,0,,,LaurenChairCuffed.jpg
430,0,0,,,LaurenRealized.jpg
440,0,0,,,LaurenRealized.jpg
450,0,0,,(Lauren is still struggling to escape.),LaurenRealized.jpg
455,0,0,,,NicoleOffer.jpg
460,0,0,,"(Lauren is cuffed to the chair, unable to escape.)",LaurenHelpless.jpg
470,0,0,,"(Lauren is cuffed to the chair, unable to escape.)",LaurenHelpless.jpg
480,0,0,,,NicoleOffer.jpg
490,0,0,,,PlayerChairCuffed.jpg
500,0,0,,,PlayerChairCuffed.jpg
510,0,0,,,Lauren.jpg
520,0,0,,(Lauren is rather busy teaching Nicole.),LaurenDone.jpg
525,0,0,,,LaurenPlayerGone.jpg
600,0,0,,(Your arms are lifted up high behind you|and the handcuffs attached to something.),BlindMansBuff.jpg
610,0,0,,,LaurenCaptor.jpg
620,0,0,,,LaurenGone.jpg
630,0,0,,,PlayerStrappado.jpg
640,0,0,,,PlayerFlip.jpg
650,0,0,,,PlayerGrab.jpg
660,0,0,,,PlayerLegWrap.jpg
670,0,0,,,PlayerHoldingOn.jpg
680,0,0,,,PlayerHelpedDown.jpg
690,0,0,,,PlayerLegCuffs.jpg
700,0,0,,,LaurenCaptor.jpg
710,0,0,,,LaurenCaptor.jpg
720,0,0,,,LaurenPlayerReleased.jpg
730,0,0,,,LaurenCaptor.jpg
735,0,0,,,LaurenPeak.jpg
740,0,0,,,LaurenPeakLegCuffs.jpg
745,0,0,,,LaurenContinue1.jpg
746,0,0,,,LaurenContinue2.jpg
750,0,0,,,PlayerLegCuffs.jpg
800,0,0,,,LaurenPlayerReleased.jpg
810,0,0,,,LaurenPlayerReleased.jpg
900,0,0,,,LaurenCrying.jpg
910,0,0,,,LaurenJenna.jpg
