Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,"That's me,|nice to meet you.",Nice to meet you too.|Its always good to see new club members.,30,1,0,
0,0,0,PlayerGagged,@hn nngm th mmmt nhh.,"Sorry, I don't understand gag talk yet.|You will have to remove that gag first.",25,0,0,
0,0,0,,(Nod your head.),"Don't be shy, were all friends here.",30,0,-1,
10,0,0,,Could you help|untie me?,"Sorry, you must have got yourself into that mess,|so you can get out of it yourself.",15,0,0,
10,0,0,PlayerGagged,@Plmhfm hntnm mm.,"Sorry, I don't understand gag talk yet.|You will have to remove that gag first.",15,0,0,
10,0,0,,(Nod your head.),"That's nice, have fun like that.",15,0,0,TiedNod()
20,0,0,,Could you|remove these cuffs?,"I don't actually have a handcuff key,|but I can teach you how to escape them.",50,0,0,
20,0,0,,You would look even|better trapped in them.,Handcuffs have a habit of just slipping off me.|Would you like to learn how?,50,0,0,
20,0,0,PlayerGagged,@Plmhfm hntnm mm.,"Sorry, I don't understand gag talk yet.|You will have to remove that gag first.",25,0,0,
20,0,0,,(Nod your head.),And so submissive too.|Would you like to stay like that or learn to escape.,50,0,-1,
25,0,0,PlayerGagged,@Plmhfm hntnm mm.,"Sorry, I don't understand gag talk yet.|You will have to remove that gag first.",25,0,0,
30,0,0,,What are you doing?,I'm teaching Nicole how to escape handcuffs without|the key.  Do you know how to do it?,40,0,0,
30,0,0,,Can I tie you up?,"Wow, not now, I'm teaching Nicole how to escape|handcuffs.  Would you like to learn how as well?",40,0,1,
30,0,0,,Will you tie me up?,"Maybe later, I'm teaching Nicole how to escape|handcuffs right now. You ought to learn this too.",40,0,-1,
30,0,0,BlindfoldAvailable,Are you using|that blindfold?,"I was going to try escaping cuffs blindfolded, but you|can borrow it.  It's a good one, you should try it out.",30,0,0,GetBlindfold()
40,0,0,,I didn't know|that was possible.,Nothing is impossible.|The handcuff mechanism is really very crude.,100,0,0,
40,0,0,,What you mean by|dislocating your thumbs?,"Don't be silly, there are far less painful methods.|The handcuff mechanism is really very crude.",100,-1,0,
40,0,0,,Intriguing tell me more.,Sure.|The handcuff mechanism is really very crude.,100,1,0,
40,0,0,,Handcuffs don't|really interest me.,"That's fine, you should try the girls next to me.|They are discussing rope techniques.",45,0,0,
45,0,0,BlindfoldAvailable,Are you using|that blindfold?,"I was going to try escaping cuffs blindfolded, but you|can borrow it.  It's a good one, you should try it out.",45,0,0,GetBlindfold()
50,0,0,PlayerHasKey,"I have a key, but|I would like to learn.","That's all very well, but keys can go missing.|The handcuff mechanism is really very crude.",100,1,0,
50,0,0,,"Please teach me,|these cuffs hurt.",Of course sweetie.|The handcuff mechanism is really very crude.,100,1,-1,
50,0,0,,"Yes, tell me now.",OK steady on.|The handcuff mechanism is really very crude.,100,0,1,
50,0,0,,"Forget it, I'll|just find a key.",Good luck with that.,55,-1,0,
50,0,0,PlayerGagged,@Plmhfm hntnm mm.,"Sorry, I don't understand gag talk yet.|You will have to remove that gag first.",50,0,0,
50,0,0,PlayerGagged,(Nod your head.),"Someone must have gagged you for a reason,|get them to ungag you first so we can talk properly.",50,0,0,
100,0,0,,It seems|effective enough.,"Crude, but effective.  It's just a sprung pawl on|a ratchet, the key just lifts the pawl.",110,0,0,
100,0,0,,This whole room|is pretty crude.,"They're not all that bad.  It's just a sprung pawl|on a ratchet, the key just lifts the pawl.",110,0,0,
110,0,0,,So what do you do|without the key?,I force the pawl and ratchet apart by|sliding a thin strip of metal in between them.,120,0,0,
110,0,0,,You just pick|the lock then?,"That's one method, but I just slide a strip|of metal between the pawl and ratchet.",120,0,1,
110,0,0,,What did you just|say about paws?,Don't sweat the technical language.  You just have|to slide a strip of metal into the right place.,120,0,-1,
120,0,0,,What you just magic|up strips of metal.,The magic is to hide them in plain sight.|The basic snap hair clips are ideal and discreet.,130,0,0,
120,0,0,,I don't have|anything like that.,A lot of us are already wearing just the thing.|A snap hair clip is all you need.,130,0,-1,
120,0,0,,Hmmm so what might|I have like that?,That's the attitude.|All we need here is a basic snap hair clip.,130,1,0,
130,0,0,,Can you show me|how to do it?,"Handcuff yourself first and I will talk you through it,|like I'm doing with Nicole.",140,0,0,AlreadyCuffed()
130,0,0,,Get on with it.|Show us how it's done.,"Well I could but it's better if you cuff yourself|and try it, like Nicole is trying to do.",140,0,1,AlreadyCuffed()
