Tag,Content
AlreadyCuffed,"As you're already cuffed, you can try it yourself|and I'll talk you through how."
KinkyClip,Sure. (She reaches up under your skirt and snaps|a clip onto the waistband of your panties.)
Fail0,"(The strip jams in a cuff, Lauren yanks it out.)|Try again without burr this clip like last time."
Fail1,"(You fumble and drop the strip of hair clip.)|What a klutz, here try again with another clip."
BallGag,(She reluctantly accepts the ball gag|and you strap it firmly in her mouth.)
TapeGag,(She reluctantly closes her mouth and accepts the|tape as you smooth it over her mouth.)
ClothGag,(She reluctantly opens her mouth for the wad|of cloth and you tie it firmly in place.)
MuffledDetermination,(She shakes her head and keeps trying|to break the hair clip one handed.)
AskLetGo,You should let me go.
AskEnjoy,I suppose we can enjoy the situation.
AskBeGentle,"I'm not sure, just please be gentle."
AskWhatever,Whatever you like.
AskUnsure,"I don't know.|This is so wrong, but it felt so good."
AskGag,(She mumbles something into her gag.)
LikeGrope,(She breathes heavily and quietly moans as you|squeeze and massage her satin covered breasts.)
GropeGag,"(She seems annoyed.)|Whnt, thht'f fhr thh rhhgh. Fthp Hmt."
LikeNipples,"Ohhh, please be gentle."
LikeNipplesGag,(She groans.) Plmhfm bm gmntlm.
NipplesGag,(Lauren squeals.)|Lmt gh hf mm nhh pmrvmrt.
LikeKiss,"(You kiss her lips.|Slightly stunned, she returns your kiss.)"
GagKiss,(You kiss her breasts. She flinches.)|Whht ghvm nhh thht Hmdmh?
LikeGagKiss,(You kiss her breasts. She mews softly.)
SubGagKiss,(You kiss her exposed crotch.|She flinches and shakes her head.)
LoveSubGagKiss,(You kiss her exposed crotch.|She mews and slowly nods her head.)
LikeCaress,"(She enjoys your gently touch, moaning softly.)"
LikeSlap,"Oww, please be gentle."
LikeSlapGag,(She whimpers into her gag.) Plmhfm bm gmntlm.
SlapGag,(She whines into her gag.) whht whht whf thht fhr?
LikeRub,(She breathes quickly.)|Th-that's a rather se-se-sensitive area.
LikeRubGag,(She breathes quickly and whimpers into her gag.)
RubGag,(She grunts angrily.)|Hmn fthp thht. Dhn't mvmn thnng hbhht ghnng thmrm.
LikeMasturbate,(She breathes fast and moans quietly.)
LikeMasturbateGag,(She breathes fast and moans quietly into the gag.)
MasturbateGag,"(She screams into the gag.)|Hgh, whht thm hmll dh nhh thnng nhh hrm dhnng? NH."
LaurenOrgasm,(She trembles in her bonds and bites her lip|to stifle her moans as she gets an orgasm.)
LaurenOrgasmGag,"(She trembles in her bonds, the gag stifling|her moans as she has an orgasm.)"
LaurenOrgasmRep,"(She trembles helplessly and quietly whines,|conflicted between pleasure and humiliation.)"
Bullied,(Lauren violently struggles against her restraints and|starts crying. Someone puts a hand on your shoulder.)
ShakesHead,(She shakes her head.)
LoveIt,"That was fun, maybe another time.|(She goes back to teaching Nicole.)"
SubIt,"Yes, I think.|(She goes back to teaching Nicole.)"
OrgasmIt,(She blushes even brighter red and quietly nods.|Then goes back to teaching Nicole.)
LoveAgain,"Sure, but not right now.|(She goes back to teaching Nicole.)"
SubAgain,"Yes, but not right now please.|(She goes back to teaching Nicole.)"
OrgasmAgain,(She blushes even brighter red.)  Not in the middle|of college please.  (She goes back to teaching Nicole.)
LuarenReturned,"(Lauren comes back.) I asked around the club,|they said you're a very kinky girl?"
LaurenRevengeNod,That explains a lot. Cassidy suggested|you would much prefer taking to giving.
LaurenRevengeShake,After what you just did to me?|Lets see how you like it now.
Intimate1,(She tentatively feels around your crotch.)
Intimate2,(She gently prods your clitoris.)
Intimate3,(She starts slowly masturbating you.|Rubbing your crotch through your panties.)
Intimate4,(She increase the pace and pressure.)
Intimate5,This is intriguing. Should I continue?
DislikeNod,"No, I'm just not into this.|(She gets up and walks away, leaving you hanging.)"
SubShake,Well I'm going to find out.|(She pulls down your panties.)
LikeShake,"Oh come on, there is only one way to find out.|(She pulls down your panties.)"
RevengeNod2,"That's right, you do prefer to take it.|(She pulls down your panties.)"
RevengeShake2,You didn't give me the choice earlier.|(She pulls down your panties.)
Intimate6,You wax your pussy?!|(She rubs your smooth crotch.)
Intimate7,"(She starts sliding two fingers into your vagina.)|You feel tense, try to relax."
Intimate8,"(She works the fingers deep, in and out repeatedly.)"
IntimateDenial,(She suddenly pulls out.)  I think that's enough|for now.  (She pulls your panties up and leaves you.)
IntimateOrgasm,(Her other hand teases your clitoris while the first|thrusts vigorously.  It induces a wonderful orgasm.)
IntimateProlong,"(Lauren keeps masturbating you,|prolonging your helpless ecstasy.)"
IntimateSubside,(She stops masturbating you and the orgasm subsides.)|I wonder?  (You feel a finger press against you anus.)
AnalRefuse,I was kidding. I'll leave you to fantasize about it.|(She pulls up your panties and walks away.)
Intimate12,(She carries on working the fingers in your|vagina along with the one in your ass.)
Intimate13,"(You cum again, with an orgasm of pleasure and pain.)"
Intimate14,"I need to go wash my hands now.  (Lauren withdraws|her fingers, pulls up your panties and walks away.)"
OBreak,"(Exhausted, you struggle to even shake your shackles.)"
OClip,"(Just thinking where a clip is hidden seems|like too much effort, you sway gently.)"
OCall,(Barely a faint whine escapes you gagged mouth now.)
