Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,Hello. Are you another new girl?,Amelia.jpg
10,0,0,,So what is your name?,Amelia.jpg
50,0,0,,"Hello, what have we here?",Amelia.jpg
100,0,0,,(Amelia was just telling Charlotte about Kinbaku.),RopeGroupBG.jpg
110,0,0,,,Amelia.jpg
120,0,0,,,Amelia.jpg
125,0,0,,,Amelia.jpg
200,0,0,,,Amelia.jpg
210,0,0,,,Amelia.jpg
215,0,0,,,Amelia.jpg
216,0,0,,,Amelia.jpg
217,0,0,,,Amelia.jpg
218,0,0,,,Amelia.jpg
220,0,0,,,Amelia.jpg
225,0,0,,,Amelia.jpg
230,0,0,,,Amelia.jpg
231,0,0,,,Amelia.jpg
232,0,0,,,Charlotte.jpg
233,0,0,,,Amelia.jpg
234,0,0,,,Amelia.jpg
235,0,0,,,Amelia.jpg
236,0,0,,,Amelia.jpg
250,0,0,,,Amelia.jpg
251,0,0,,,Amelia.jpg
252,0,0,,,Amelia.jpg
255,0,0,,,Amelia.jpg
260,0,0,,,Amelia.jpg
300,0,0,,,Charlotte.jpg
310,0,0,,,Charlotte.jpg
311,0,0,,,Charlotte.jpg
312,0,0,,,Charlotte.jpg
320,0,0,,,Charlotte.jpg
321,0,0,,,Charlotte.jpg
322,0,0,,,Charlotte.jpg
323,0,0,,,Charlotte.jpg
330,0,0,,,Charlotte.jpg
340,0,0,,,Charlotte.jpg
350,0,0,,,Charlotte.jpg
360,0,0,,,Charlotte.jpg
400,0,0,,,LeftTwin.jpg
410,0,0,,,LeftTwin.jpg
420,0,0,,,LeftTwin.jpg
430,0,0,,,
450,0,0,,,RightTwin.jpg
460,0,0,,,Tickling.jpg
465,0,0,,,TicklingTears.jpg
470,0,0,,,RightTwin.jpg
490,0,0,,,RightTwin.jpg
500,0,0,,,Amelia.jpg
600,0,0,,,TwinsBackground.jpg
610,0,0,,,TwinsBackground.jpg
620,0,0,,,TwinsBackground.jpg
621,0,0,,,TwinsBackground.jpg
622,0,0,,,TwinsBackground.jpg
623,0,0,,,TwinsBackground.jpg
630,0,0,,,TwinsBackground.jpg
631,0,0,,,TwinsBackground.jpg
632,0,0,,,ToBeSuspended.jpg
633,0,0,,,Suspended1.jpg
634,0,0,,,Suspended2.jpg
635,0,0,,,Suspended3.jpg
636,0,0,,,Suspended4.jpg
637,0,0,,,
700,0,0,,Thanks for untying me.,TwinsBackground.jpg
710,0,0,,I've had enough of being tied up.|Can I tie you up now?,TwinsBackground.jpg
720,0,0,,,TwinTyingPlayer.jpg
730,0,0,,,PlayerHogtied.jpg
740,0,0,,,PlayerHogtiedGagged.jpg
750,0,0,,,WhisperingTwin.jpg
760,0,0,,,WhisperingTwin.jpg
765,0,0,,,WhisperingTwin.jpg
770,0,0,,,TwinUnHogtiesPlayer.jpg
800,0,0,,,WhisperingTwin.jpg
810,0,0,,,WhisperingTwin.jpg
811,0,0,,,WhisperingTwin.jpg
812,0,0,,,WhisperingTwin.jpg
813,0,0,,,WhisperingTwin.jpg
814,0,0,,,WhisperingTwin.jpg
820,0,0,,,WhisperingTwin.jpg
821,0,0,,,WhisperingTwin.jpg
822,0,0,,,WhisperingTwin.jpg
823,0,0,,,WhisperingTwin.jpg
824,0,0,,,WhisperingTwin.jpg
830,0,0,,,WhisperingTwin.jpg
831,0,0,,,WhisperingTwin.jpg
832,0,0,,,WhisperingTwin.jpg
833,0,0,,,WhisperingTwin.jpg
840,0,0,,,WhisperingTwin.jpg
841,0,0,,,WhisperingTwin.jpg
842,0,0,,,HeatherCaught.jpg
843,0,0,,,Comforted.jpg
844,0,0,,,ComfortView.jpg
845,0,0,,,ComfortView.jpg
846,0,0,,,ComfortView.jpg
847,0,0,,,ComfortView.jpg
848,0,0,,,ReleasedByJenna.jpg
849,0,0,,,JennaGone.jpg
850,0,0,,,WhisperingTwin.jpg
851,0,0,,,WhisperingTwin.jpg
852,0,0,,,TwinUnHogtiesPlayer.jpg
853,0,0,,,ShownPlug.jpg
854,0,0,,,PlugingStart.jpg
855,0,0,,,PlugingStart.jpg
856,0,0,,,HeatherReady.jpg
857,0,0,,,HeatherReady.jpg
858,0,0,,,HeatherSet.jpg
860,0,0,,,Blindfold.jpg
861,0,0,,,Blindfold.jpg
900,0,0,,Are You ready to do this?,TwinsBackground.jpg
