Tag,Content
WarnKidnapper,"(As you grab her Amelia stops you.)|Kidnapping one of them is enough, the other stays here."
StopKidnapper,That's enough.|You can have a taste of your own medicine.
StoppingYou,"Fine, I will.|(She tightens her grip and forces you across the room.)"
ForceTied,Stop trying to argue. It doesn't suit you.|(Amelia forces you to strip and ties you up.)
YouTry,"I'm not trying that again,|but I think she might yield to you now."
WouldYourSisterShake,(She shakes her head.)
WouldYourSisterNod,(She nods her head.)
RevealLucy,"(She whispers in your ear.) Don't worry, I am Lucy.|If I was Heather you would be in trouble now."
RevealHeather,"(She whispers in your ear.)|By the way, Lucy is still bound and gagged."
Collar,
Crop,
Rope,
Cuffs,
BallGag,
TapeGag,
ClothGag,
VibratingEgg,
Blindfold,
