Tag,Content
HeatherGivenAway,Have fun then.|(Lucy waves goodbye as you drag her sister away.)
TwinUngag,(You gag her but she just removes it.)|I hate being gagged.
TwinUnblindfold,"(Try to blindfold her, but she just removes it.)|This is bad enough as it is without that."
TooSubmissive,"(She stops you.) Oh no you don't,|you're far too submissive for that."
GetSomeItems,You don't have much and|I can't reach anything like this.
CuffsNeedKey,(You need to use a key to unlock her handcuffs.)
NoManacleKey,(Her arms are securely locked in the manacles|and there is no way out without the key.)
RopeHow,How are you going to tie her up?
UntieLegsFirst,(She will have to kneel down to lock her legs in.|you need to untie her legs first.)
SquirmCrotchRope,"(You manage to tie her up and she starts to squirm.)|Owww, you made this crotch rope really tight."
CanRestrainMe,I suppose so.|It's not like I can go and do much else.
SufferNoFools,Stop fooling around.|(She grabs you and rummages through your items.)
ShameNoItems,Stop fooling around.|It's a shame you don't have anything useful on you.
NotDoneYet,I'm not done with you yet.|(She looks through your items again.)
JustChastityBelt,(She takes a chastity belt and locks it on you.)
JustVibratingEgg,(She takes a vibrating egg and|inserts it in your vagina.)
NoItem,"No, you’re not using that on me.|(She fends you off.)"
NotChastable,(You can not get the chastity belt on|her with her legs tied together.)
FitChastityBelt,(You fasten the chastity belt on her tightly.|She sighs as it clicks shut.)
FitVibratingEgg,(She squirms uncomfortably|as you slip the egg into her.)
NoSkirtRemove,Hey stop that. (She fends you off and|prevents you pulling her skirt down.)
SkirtPulled,(The manacles stop you removing her skirt.|You can only pull it down around here knees.)
NoUniformRemove,Hey stop that. (She fends you off and|prevents you removing her uniform.)
RemovingUniform,(Reluctantly she lets you remove her uniform.)
UnableToHelp,"(She shrugs, looking down at her own bondage."
SorryNoHelp,"Sorry, I'm not much use like this either."
ManaclesNoHelp,"Sorry, looks like we are both|stuck in these manacles now."
WillHelp,"Okay then, you want help to escape that bondage?"
JustAddedBondage,"No, you only just asked for that.|You can stay like that for a bit."
WillTellMore,"Right, you have to promise not to|tell anyone else about this though."
NoKeys,"Sorry, I don't have any keys for locks."
NoKeysRemoveGag,I don't have any keys for locks.|But I can at least help with that gag.
FitRandomGag,"(She looks through your items and selects a|gag for you.)  There you go, nice and quiet."
HeatherRevenge,(She looks through your items again.)|Actually I can help you.
ShutUpAlready,"You’re so annoying, this should shut you up.|(She uses your one of your own gags on you.)"
FindKeysAlready,"(She grabs you and spanks you hard, then shoves|you away.)  Go find the keys to these manacles, NOW."
KissBound,"(You draw her in and kiss her, but she does not|kiss back and you stop.)  That feeling isn't mutual."
TickleBoundLegsFree,"(She giggles and writhes, then kicks you hard.)|No, not that. Leave me alone."
TickleBound,"(She giggles and writhes helplessly.)|No more, no more please."
TickleBound2,Nha-na-ha-ha-he-he-n-no-pl-pl-please-sto-nhe-ha|-he-he-ha-aah-pl-please-mercy-MERCY!
TickleBound3,(She laughs and giggles out load.|Writhing and begging you to stop.)
TickleGaggedLegsFree,"(She writhes as the gag mutes her giggles,|but then kicks you hard.)"
TickleGagged,(The gag muffles her giggles and pleas|as she writhes helplessly.)
TickleGagged2,"(The gag muffles her giggles and pleas as she|writhes helplessly.)  Plmhfm hhvm mmrgn, MMRGN!"
TickleGagged3,(The gag barely mutes her laughter and helpless|giggling.  She writhes and begs you to stop.)
SpankBound,Ouch. What was that for?
SpankGagged,Hwww. Whht whf thht fhr?
BreastsBound,Stop that. (She squirms and tries to pull away|as you feel her breasts and tease her nipples.)
BreastsGagged,"(She squirms, whimpers and tries to pull away|as you feel her breasts and tease her nipples.)"
MasturbateBound,"Aaaaaah S-stop th-that, RIGHT NOW!"
MasturbateGagged,(The gag muffles her angry groans as|she frantically shakes her head.)
HelplessPleasure1,"(She tries to compose herself,|but starts shivering to your touch.)"
HelplessPleasure2,"(She tries to steady her breathing,|but can help herself from squirming to your rhythm.)"
HelplessPleasure3,"(Unable to resist you any longer,|she has a silent orgasm.)"
HelplessPleasure4,"(She trembles with pleasures and whimpers,|helpless to your actions.)"
ChasteMasturbate,"(The chastity belt stops you.) I might have to get|one of these for myself, as long as I have the key."
ChasteMasturbateGagged,(She giggles as the chastity belt blocks|your futile efforts to stimulate her.)
Crop,(She yelps with pain at the sharp sting of the crop.)
TwoRopes,(You take another rope and tie her legs back together.)
Cuffs,(You use the cuffs to secure her hands behind her back.)
CuffsKey,(You unlock her handcuffs and she quickly|removes all the bondage she can.)
BallGag,"(She pleads with you, but strapping the ball into|her mouth soon reduces her to just whimpering.)"
ClothGag,"(She pleads with you, but a big wad of cloth|filling her mouth limits her to whimpering.)"
TapeGag,"(She pleads with you, but a strip of tape|sticking her lips together stops that.)"
Blindfold,(She squeals from shock as you|buckle the blindfold over her eyes.)
Armbinder,(You wrestle her arms behind her and into the|armbinder before doing up the straps and laces.)
