Tag,Content
PlayerFree1,"""Ah COMMON_PLAYERNAME, I wondered how you were getting on."""
PlayerFree2,"""Tell me about it another time."""
PlayerFree3,"""I have something for you."""
PlayerFree4,She draws your attention to the middle of the room.
Enslaved1,"Jenna walks over. ""Erica, I'll buy that pink haired slave."""
Enslaved2,"Erica  ""Are you actually going to pay for this one."""
Enslaved3,"Jenna  ""No, just put her on my tab."""
Enslaved4,Jenna takes you into the middle of the clubroom.
ChloeSub1,"Jenna walks over. ""Looks like you finally found someone to play with."""
ChloeSub2,"Chloe  ""Oh COMMON_PLAYERNAME has been a darling."""
ChloeSub3,"Chloe  ""Can I keep her a little longer?"""
ChloeSub4,"Jenna  ""Sorry, another time."" She takes you into the room."
LeftChair1,Your blindfold is removed to reveal Jenna standing over you.
LeftChair2,"""Wow, I didn't believe it when Chloe told me."""
LeftChair3,"""You are very tempting like that, but now isn't the time."""
LeftChair4,She releases you from the chair and leads you into the room.
