Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,(Inspect it.)|(1 minute),"Despite the reasuring soft silicone and large base,|this butt plug will be a stretch and won't just slip out.",0,0,0,
0,0,0,Common_PlayerNotRestrained,(Insert it.)|(1 minute),You relax and slip the plug in.  It stretches and fills|your ass.  It's stem doesn't feel so small now.,0,0,0,Insert()
10,0,0,HasLoosePlug,(Inspect the loose plug.)|(1 minute),"Despite the soft silicone and large base, this butt plug|will be a stretch and won't just slip out.",10,0,0,ShowImage()
10,0,0,!Common_PlayerChaste,(Remove it with a hand.)|(1 minute),"You relax your ass and slowly pulling on the|plug's base.  It stretches your ass again, as it pops out.",0,0,0,HandOut()
10,0,0,Common_PlayerChaste,(Remove it with a hand.)|(1 minute),"The chastity belt covers over the butt plug,|preventing you from removing it.",10,0,0,
10,0,0,,(Clench your ass.)|(1 minute),"The plug feels mecislessly hard and your|ass painfully tight, until you relax again.",10,0,0,
10,0,0,!Common_PlayerChaste,(Remove it by contracting.)|(1 minute),"You relax, squirm and try to push, but the plug|doesn't budge.  It needs to be pulled as well.",10,0,0,
10,0,0,Common_PlayerChaste,(Remove it by contracting.)|(1 minute),"You relax, squirm and try to push, but the|chasity belt makes sure the plug can't come out.",10,0,0,
20,0,0,HasLoosePlug,(Inspect the loose egg.)|(1 minute),"Despite the soft silicone and large flange, this butt plug|will be a stretch and won't just slip out.",20,0,0,ShowImage()
20,0,0,!Common_PlayerChaste,(Remove it by contracting.)|(1 minute),"You relax, squirm and try to push, but the plug|doesn't budge.  You need a free had to pull it out.",20,0,0,
20,0,0,Common_PlayerChaste,(Remove it by contracting.)|(1 minute),"You relax, squirm and try to push, but the chasity belt makes sure the plug can't come out.",20,0,0,
20,0,0,,(Clench your ass.)|(1 minute),"The plug feels mecislessly hard and your|ass painfully tight, until you relax again.",20,0,0,
