Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,@Slot 1,Slot 1 cannot be loaded.,0,0,0,LoadGame(1)
0,0,0,,@Slot 2,Slot 2 cannot be loaded.,0,0,0,LoadGame(2)
0,0,0,,@Slot 3,Slot 3 cannot be loaded.,0,0,0,LoadGame(3)
0,0,0,,@Slot 4,Slot 4 cannot be loaded.,0,0,0,LoadGame(4)
0,0,0,,@Slot 5,Slot 5 cannot be loaded.,0,0,0,LoadGame(5)
0,0,0,,@Slot 6,Slot 6 cannot be loaded.,0,0,0,LoadGame(6)
0,0,0,,@Slot 7,Slot 7 cannot be loaded.,0,0,0,LoadGame(7)
0,0,0,,@Slot 8,Slot 8 cannot be loaded.,0,0,0,LoadGame(8)
0,0,0,,@Slot 9,Slot 9 cannot be loaded.,0,0,0,LoadGame(9)
0,0,0,,Main Menu,,0,0,0,MainMenu()
