Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,@Slot 1,L'emplacement 1 ne peut être chargé.,0,0,0,LoadGame(1)
0,0,0,,@Slot 2,L'emplacement 2 ne peut être chargé.,0,0,0,LoadGame(2)
0,0,0,,@Slot 3,L'emplacement 3 ne peut être chargé.,0,0,0,LoadGame(3)
0,0,0,,@Slot 4,L'emplacement 4 ne peut être chargé.,0,0,0,LoadGame(4)
0,0,0,,@Slot 5,L'emplacement 5 ne peut être chargé.,0,0,0,LoadGame(5)
0,0,0,,@Slot 6,L'emplacement 6 ne peut être chargé.,0,0,0,LoadGame(6)
0,0,0,,@Slot 7,L'emplacement 7 ne peut être chargé.,0,0,0,LoadGame(7)
0,0,0,,@Slot 8,L'emplacement 8 ne peut être chargé.,0,0,0,LoadGame(8)
0,0,0,,@Slot 9,L'emplacement 9 ne peut être chargé.,0,0,0,LoadGame(9)
0,0,0,,Menu principal,,0,0,0,MainMenu()
