Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,@Slot 1,Slot 1 was saved.,0,0,0,SaveGame(1)
0,0,0,,@Slot 2,Slot 2 was saved.,0,0,0,SaveGame(2)
0,0,0,,@Slot 3,Slot 3 was saved.,0,0,0,SaveGame(3)
0,0,0,,@Slot 4,Slot 4 was saved.,0,0,0,SaveGame(4)
0,0,0,,@Slot 5,Slot 5 was saved.,0,0,0,SaveGame(5)
0,0,0,,@Slot 6,Slot 6 was saved.,0,0,0,SaveGame(6)
0,0,0,,@Slot 7,Slot 7 was saved.,0,0,0,SaveGame(7)
0,0,0,,@Slot 8,Slot 8 was saved.,0,0,0,SaveGame(8)
0,0,0,,@Slot 9,Slot 9 was saved.,0,0,0,SaveGame(9)
0,0,0,,@Continue,,0,0,0,Continue()
