Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,@Slot 1,Sauvegarde effectuée sur l'emplacement 1.,0,0,0,SaveGame(1)
0,0,0,,@Slot 2,Sauvegarde effectuée sur l'emplacement 2.,0,0,0,SaveGame(2)
0,0,0,,@Slot 3,Sauvegarde effectuée sur l'emplacement 3.,0,0,0,SaveGame(3)
0,0,0,,@Slot 4,Sauvegarde effectuée sur l'emplacement 4.,0,0,0,SaveGame(4)
0,0,0,,@Slot 5,Sauvegarde effectuée sur l'emplacement 5.,0,0,0,SaveGame(5)
0,0,0,,@Slot 6,Sauvegarde effectuée sur l'emplacement 6.,0,0,0,SaveGame(6)
0,0,0,,@Slot 7,Sauvegarde effectuée sur l'emplacement 7.,0,0,0,SaveGame(7)
0,0,0,,@Slot 8,Sauvegarde effectuée sur l'emplacement 8.,0,0,0,SaveGame(8)
0,0,0,,@Slot 9,Sauvegarde effectuée sur l'emplacement 9.,0,0,0,SaveGame(9)
0,0,0,,@Continuer,,0,0,0,Continue()
