Tag,Content
NoTitle,无
Love1,友好
Love2,喜欢
Love3,爱慕
Hate1,讨厌
Hate2,厌恶
Hate3,痛恨
Domme1,女强人
Domme2,支配者
Domme3,女王
Sub1,害羞女生
Sub2,乖巧女孩
Sub3,顺从奴隶
LoveDomme1,有名人
LoveDomme2,万人迷
LoveDomme3,公主
LoveSub1,乖乖女
LoveSub2,优等生
LoveSub3,老师的走狗
HateDomme1,霸凌女
HateDomme2,班级霸王
HateDomme3,母夜叉
HateSub1,怪人
HateSub2,众矢之的
HateSub3,过街老鼠
Name,名称:
Title,标题：
Skills,Skills
Level,Level
Profile,Profile
Relationships,Relationships
Owner,Mistress:
NoOwner,Unowned
SkillArts,Arts
SkillFighting,Fighting
SkillRopeMastery,Rope Mastery
SkillSports,Sports
SkillSeduction,Seduction
