Tag,Content
NoTitle,None
Love1,Nice girl
Love2,Beloved
Love3,Cherished
Hate1,Disliked
Hate2,Detested
Hate3,Hated
Domme1,Tough cookie
Domme2,Dominant
Domme3,Queen
Sub1,Shy girl
Sub2,Submissive
Sub3,Obedient
LoveDomme1,Trendy
LoveDomme2,Miss popular
LoveDomme3,Princess
LoveSub1,Geeky
LoveSub2,Precious
LoveSub3,Teacher's pet
HateDomme1,Bully
HateDomme2,Class boss
HateDomme3,Dominatrix
HateSub1,Weirdo
HateSub2,Black sheep
HateSub3,Reject
Name,Name:
Title,Title:
Skills,Skills
Level,Level
Profile,Profile
Relationships,Relationships
Owner,Mistress:
NoOwner,Unowned
Lover,Girlfriend:
NoLover,Single
SkillArts,Arts
SkillFighting,Fighting
SkillRopeMastery,Rope Mastery
SkillSports,Sports
SkillSeduction,Seduction
