Tag,Content
NoTitle,Rien
Love1,Fille sympa
Love2,Bien aimée
Love3,Adorée
Hate1,Pas aimée
Hate2,Détestée
Hate3,Haïe
Domme1,Dure à cuire
Domme2,Dominante
Domme3,Reine
Sub1,Fille timide
Sub2,Docile
Sub3,Obéissante
LoveDomme1,Branchée
LoveDomme2,Populaire
LoveDomme3,Princesse
LoveSub1,Geek
LoveSub2,Précieuse
LoveSub3,Chouchoute
HateDomme1,Brute
HateDomme2,Chef de classe
HateDomme3,Dominatrice
HateSub1,Bizarre
HateSub2,Mouton noir
HateSub3,Rejetée
Name,Nom :
Title,Titre :
Skills,Talents
Level,Niveau
Profile,Profile
Relationships,Relations
Owner,Maîtresse :
NoOwner,Aucune
SkillArts,Arts
SkillFighting,Combat
SkillRopeMastery,Maîtrise des Cordes
SkillSports,Sports
SkillSeduction,Séduction
